# If using '#' or the data(line) cannot be divided into 3, it wouldn't be included
# The valid data must consist of string divided into 3 without '#'

# Data : [start node] [end node] [weight(int, sec)] [(optional) two-way]
# Node : Building-Floor-Entity
# Entity : {room(only decimal), elevator(E prefixed),
#           stair(S), exit(X), hall way(H)}

# A (B) C D G H I J P R

R-2-H4 R-2-H5 1 t
R-2-H5 R-2-H6 1 t
R-2-H6 R-2-H7 1 t
R-2-X1 R-2-H7 1 t

R-2-1 R-2-H5 1 t
R-2-2 R-2-H2 1 t


#floor3
R-3-E1 R-4-E1 10 t
R-3-E2 R-4-E2 10 t
R-3-E3 R-4-E3 10 t
R-3-E4 R-4-E4 10 t
R-3-E5 R-4-E5 10 t
R-3-E6 R-4-E6 10 t

R-3-S1 R-4-S1 15
R-3-S2 R-4-S2 15
R-3-S3 R-4-S3 15

R-3-S1 R-2-S1 10
R-3-S2 R-2-S2 10
R-3-S3 R-2-S3 10

R-3-E1 R-3-H3 1 t
R-3-E2 R-3-H3 1 t
R-3-E3 R-3-H3 1 t
R-3-E4 R-3-H6 1 t
R-3-E5 R-3-H6 1 t
R-3-E6 R-3-H6 1 t
R-3-S1 R-3-H1 1 t
R-3-S2 R-3-H4 1 t
R-3-S3 R-3-H6 1 t
R-3-H1 R-3-H2 1 t
R-3-H2 R-3-H3 1 t
R-3-H3 R-3-H4 3 t
R-3-H4 R-3-H5 1 t
R-3-H5 R-3-H6 1 t
R-3-H6 R-3-H7 1 t
R-3-X1 R-3-H7 1 t


R-3-1 R-3-H5 4 t
R-3-2 R-3-H5 2 t
R-3-3 R-3-H5 1 t
R-3-4 R-3-H5 2 t
R-3-5 R-3-H7 1 t
R-3-6 R-3-H7 3 t
R-3-7 R-3-H6 2 t
R-3-8 R-3-H7 1 t
R-3-9 R-3-H7 3 t
R-3-10 R-3-H6 2 t
R-3-11 R-3-H5 1 t
R-3-12 R-3-H4 1 t
R-3-13 R-3-H4 2 t
R-3-14 R-3-H3 2 t
R-3-15 R-3-H1 8 t
R-3-16 R-3-H1 6 t
R-3-17 R-3-H1 4 t
R-3-18 R-3-H1 5 t
R-3-19 R-3-H1 1 t
R-3-20 R-3-H1 1 t






#floor4
R-4-E1 R-5-E1 10 t
R-4-E2 R-5-E2 10 t
R-4-E3 R-5-E3 10 t
R-4-E4 R-5-E4 10 t
R-4-E5 R-5-E5 10 t
R-4-E6 R-5-E6 10 t


R-4-S1 R-5-S1 15
R-4-S2 R-5-S2 15
R-4-S3 R-5-S3 15


R-4-S1 R-3-S1 10
R-4-S2 R-3-S2 10
R-4-S3 R-3-S3 10


R-4-E1 R-4-H1 3 t
R-4-E2 R-4-H1 3 t
R-4-E3 R-4-H1 3 t
R-4-E4 R-4-H1 2 t
R-4-E5 R-4-H1 2 t
R-4-E6 R-4-H1 2 t
R-4-S1 R-4-H1 3 t
R-4-S2 R-4-H1 2 t
R-4-S3 R-4-H1 3 t

R-4-H1 R-4-1 12 t
R-4-H1 R-4-2 10 t
R-4-H1 R-4-3 8 t
R-4-H1 R-4-4 6 t
R-4-H1 R-4-5 4 t
R-4-H1 R-4-6 3 t
R-4-H1 R-4-7 3 t
R-4-H1 R-4-8 10 t
R-4-H1 R-4-9 8 t
R-4-H1 R-4-10 6 t
R-4-H1 R-4-11 4 t
R-4-H1 R-4-12 11 t
R-4-H1 R-4-13 10 t
R-4-H1 R-4-14 8 t
R-4-H1 R-4-15 4 t
R-4-H1 R-4-16 2 t
R-4-H1 R-4-17 1 t
R-4-H1 R-4-18 2 t
R-4-H1 R-4-19 2 t
R-4-H1 R-4-20 10 t
R-4-H1 R-4-21 8 t
R-4-H1 R-4-22 5 t
R-4-H1 R-4-23 8 t
R-4-H1 R-4-24 6 t
R-4-H1 R-4-25 5 t
R-4-H1 R-4-26 4 t



#floor5
R-5-E1 R-6-E1 10 t
R-5-E2 R-6-E2 10 t
R-5-E3 R-6-E3 10 t
R-5-E4 R-6-E4 10 t
R-5-E5 R-6-E5 10 t
R-5-E6 R-6-E6 10 t

R-5-S1 R-6-S1 15
R-5-S2 R-6-S2 15
R-5-S3 R-6-S3 15

R-5-S1 R-4-S1 10
R-5-S2 R-4-S2 10
R-5-S3 R-4-S3 10

R-5-E1 R-5-H1 3 t
R-5-E2 R-5-H1 3 t
R-5-E3 R-5-H1 3 t
R-5-E4 R-5-H1 2 t
R-5-E5 R-5-H1 2 t
R-5-E6 R-5-H1 2 t
R-5-S1 R-5-H1 3 t
R-5-S2 R-5-H1 2 t
R-5-S3 R-5-H1 3 t

R-5-H1 R-5-1 12 t
R-5-H1 R-5-2 10 t
R-5-H1 R-5-3 8 t
R-5-H1 R-5-4 6 t
R-5-H1 R-5-5 4 t
R-5-H1 R-5-6 3 t
R-5-H1 R-5-7 3 t
R-5-H1 R-5-8 10 t
R-5-H1 R-5-9 9 t
R-5-H1 R-5-10 6 t
R-5-H1 R-5-11 10 t
R-5-H1 R-5-12 6 t
R-5-H1 R-5-13 2 t
R-5-H1 R-5-14 1 t
R-5-H1 R-5-15 2 t
R-5-H1 R-5-16 2 t
R-5-H1 R-5-17 5 t
R-5-H1 R-5-18 9 t
R-5-H1 R-5-19 10 t
R-5-H1 R-5-20 10 t
R-5-H1 R-5-21 7 t
R-5-H1 R-5-22 5 t
R-5-H1 R-5-23 4 t
R-5-H1 R-5-24 3 t
R-5-H1 R-5-25 4 t
R-5-H1 R-5-26 6 t
R-5-H1 R-5-27 8 t
R-5-H1 R-5-28 10 t
R-5-H1 R-5-29 12 t
R-5-H1 R-5-30 14 t
R-5-H1 R-5-31 4 t
R-5-H1 R-5-32 6 t
R-5-H1 R-5-33 8 t
R-5-H1 R-5-34 10 t
R-5-H1 R-5-35 12 t
R-5-H1 R-5-36 14 t



#floor6
R-6-E1 R-7-E1 10 t
R-6-E2 R-7-E2 10 t
R-6-E3 R-7-E3 10 t
R-6-E4 R-7-E4 10 t
R-6-E5 R-7-E5 10 t
R-6-E6 R-7-E6 10 t

R-6-S1 R-7-S1 15
R-6-S2 R-7-S2 15
R-6-S3 R-7-S3 15

R-6-S1 R-5-S1 10
R-6-S2 R-5-S2 10
R-6-S3 R-5-S3 10

R-6-E1 R-6-H1 3 t
R-6-E2 R-6-H1 3 t
R-6-E3 R-6-H1 3 t
R-6-E4 R-6-H1 2 t
R-6-E5 R-6-H1 2 t
R-6-E6 R-6-H1 2 t
R-6-S1 R-6-H1 3 t
R-6-S2 R-6-H1 2 t
R-6-S3 R-6-H1 3 t


R-6-H1 R-6-1 12 t
R-6-H1 R-6-2 10 t
R-6-H1 R-6-3 8 t
R-6-H1 R-6-4 6 t
R-6-H1 R-6-5 4 t
R-6-H1 R-6-6 3 t
R-6-H1 R-6-7 3 t
R-6-H1 R-6-8 10 t
R-6-H1 R-6-9 6 t
R-6-H1 R-6-10 10 t
R-6-H1 R-6-11 6 t
R-6-H1 R-6-12 2 t
R-6-H1 R-6-13 1 t
R-6-H1 R-6-14 2 t
R-6-H1 R-6-15 2 t
R-6-H1 R-6-16 10 t
R-6-H1 R-6-17 6 t
R-6-H1 R-6-18 7 t
R-6-H1 R-6-19 4 t
R-6-H1 R-6-20 3 t
R-6-H1 R-6-21 4 t
R-6-H1 R-6-22 9 t
R-6-H1 R-6-23 14 t
R-6-H1 R-6-24 4 t
R-6-H1 R-6-25 9 t
R-6-H1 R-6-26 14 t






#floor7 27
R-7-E1 R-8-E1 10 t
R-7-E2 R-8-E2 10 t
R-7-E3 R-8-E3 10 t
R-7-E4 R-8-E4 10 t
R-7-E5 R-8-E5 10 t
R-7-E6 R-8-E6 10 t

R-7-S1 R-8-S1 15
R-7-S2 R-8-S2 15
R-7-S3 R-8-S3 15

R-7-S1 R-6-S1 10
R-7-S2 R-6-S2 10
R-7-S3 R-6-S3 10

R-7-E1 R-7-H1 3 t
R-7-E2 R-7-H1 3 t
R-7-E3 R-7-H1 3 t
R-7-E4 R-7-H1 2 t
R-7-E5 R-7-H1 2 t
R-7-E6 R-7-H1 2 t
R-7-S1 R-7-H1 3 t
R-7-S2 R-7-H1 2 t
R-7-S3 R-7-H1 3 t


R-7-H1 R-7-1 12 t
R-7-H1 R-7-2 10 t
R-7-H1 R-7-3 8 t
R-7-H1 R-7-4 6 t
R-7-H1 R-7-5 4 t
R-7-H1 R-7-6 3 t
R-7-H1 R-7-7 3 t
R-7-H1 R-7-8 10 t
R-7-H1 R-7-9 6 t
R-7-H1 R-7-10 10 t
R-7-H1 R-7-11 6 t
R-7-H1 R-7-12 2 t
R-7-H1 R-7-13 1 t
R-7-H1 R-7-14 2 t
R-7-H1 R-7-15 2 t
R-7-H1 R-7-16 10 t
R-7-H1 R-7-17 7 t
R-7-H1 R-7-18 10 t
R-7-H1 R-7-19 7 t
R-7-H1 R-7-20 4 t
R-7-H1 R-7-21 3 t
R-7-H1 R-7-22 4 t
R-7-H1 R-7-23 9 t
R-7-H1 R-7-24 14 t
R-7-H1 R-7-25 4 t
R-7-H1 R-7-26 9 t
R-7-H1 R-7-27 14 t



#floor8
R-8-E1 R-9-E1 10 t
R-8-E2 R-9-E2 10 t
R-8-E3 R-9-E3 10 t
R-8-E4 R-9-E4 10 t
R-8-E5 R-9-E5 10 t
R-8-E6 R-9-E6 10 t

R-8-S1 R-9-S1 15
R-8-S2 R-9-S2 15
R-8-S3 R-9-S3 15

R-8-S1 R-7-S1 10
R-8-S2 R-7-S2 10
R-8-S3 R-7-S3 10

R-8-E1 R-8-H1 3 t
R-8-E2 R-8-H1 3 t
R-8-E3 R-8-H1 3 t
R-8-E4 R-8-H1 2 t
R-8-E5 R-8-H1 2 t
R-8-E6 R-8-H1 2 t
R-8-S1 R-8-H1 3 t
R-8-S2 R-8-H1 2 t
R-8-S3 R-8-H1 3 t


R-8-H1 R-8-1 12 t
R-8-H1 R-8-2 10 t
R-8-H1 R-8-3 8 t
R-8-H1 R-8-4 6 t
R-8-H1 R-8-5 4 t
R-8-H1 R-8-6 3 t
R-8-H1 R-8-7 3 t
R-8-H1 R-8-8 10 t
R-8-H1 R-8-9 6 t
R-8-H1 R-8-10 6 t
R-8-H1 R-8-11 2 t
R-8-H1 R-8-12 1 t
R-8-H1 R-8-13 2 t
R-8-H1 R-8-14 2 t
R-8-H1 R-8-15 10 t
R-8-H1 R-8-16 7 t
R-8-H1 R-8-17 10 t
R-8-H1 R-8-18 7 t
R-8-H1 R-8-19 4 t
R-8-H1 R-8-20 3 t
R-8-H1 R-8-21 4 t
R-8-H1 R-8-22 9 t
R-8-H1 R-8-23 14 t
R-8-H1 R-8-24 4 t
R-8-H1 R-8-25 9 t
R-8-H1 R-8-26 14 t



#floor9
R-9-E1 R-10-E1 10 t
R-9-E2 R-10-E2 10 t
R-9-E3 R-10-E3 10 t
R-9-E4 R-10-E4 10 t
R-9-E5 R-10-E5 10 t
R-9-E6 R-10-E6 10 t

R-9-S1 R-10-S1 15
R-9-S2 R-10-S2 15
R-9-S3 R-10-S3 15

R-9-S1 R-8-S1 10
R-9-S2 R-8-S2 10
R-9-S3 R-8-S3 10

R-9-E1 R-9-H1 3 t
R-9-E2 R-9-H1 3 t
R-9-E3 R-9-H1 3 t
R-9-E4 R-9-H1 2 t
R-9-E5 R-9-H1 2 t
R-9-E6 R-9-H1 2 t
R-9-S1 R-9-H1 3 t
R-9-S2 R-9-H1 2 t
R-9-S3 R-9-H1 3 t


R-9-H1 R-9-1 12 t
R-9-H1 R-9-2 10 t
R-9-H1 R-9-3 8 t
R-9-H1 R-9-4 6 t
R-9-H1 R-9-5 4 t
R-9-H1 R-9-6 3 t
R-9-H1 R-9-7 3 t
R-9-H1 R-9-8 10 t
R-9-H1 R-9-9 6 t
R-9-H1 R-9-10 10 t
R-9-H1 R-9-11 6 t
R-9-H1 R-9-12 2 t
R-9-H1 R-9-13 1 t
R-9-H1 R-9-14 2 t
R-9-H1 R-9-15 3 t
R-9-H1 R-9-16 10 t
R-9-H1 R-9-17 7 t
R-9-H1 R-9-18 5 t
R-9-H1 R-9-19 10 t
R-9-H1 R-9-20 7 t
R-9-H1 R-9-21 4 t
R-9-H1 R-9-22 3 t
R-9-H1 R-9-23 4 t
R-9-H1 R-9-24 9 t
R-9-H1 R-9-25 13 t
R-9-H1 R-9-26 4 t
R-9-H1 R-9-27 9 t
R-9-H1 R-9-28 13 t

# Building T

# Floor 1
T-1-X1 T-1-H4 2 t
T-1-H4 T-1-H3 5 t
T-1-H3 T-1-H2 15 t
T-1-H2 T-1-H1 5 t
T-1-H2 T-1-E1 2 t
T-1-H1 T-1-S1 2 t

T-1-H3 T-1-4 1 t
T-1-H3 T-1-3 5 t
T-1-H2 T-1-2 5 t
T-1-H1 T-1-1 1 t


# Floor 2
T-1-E1 T-2-E1 10 t
T-1-S1 T-2-S1 15
T-2-S1 T-1-S1 10

T-2-H3 T-2-H2 20 t
T-2-H2 T-2-H1 5 t
T-2-H2 T-2-E1 2 t
T-2-H1 T-2-S1 2 t

T-2-H3 T-2-4 1 t
T-2-H3 T-2-3_2 3 t
T-2-H3 T-2-3_1 5 t
T-2-H3 T-2-2 7 t
T-2-H3 T-2-7 1 t
T-2-H3 T-2-8 5 t
T-2-H3 T-2-9 7 t
T-2-H3 T-2-10 9 t
T-2-H2 T-2-1 5 t
T-2-H2 T-2-1_1 9 t
T-2-H2 T-2-11 9 t
T-2-H2 T-2-12 5 t


# Floor 3
T-2-E1 T-3-E1 10 t
T-2-S1 T-3-S1 15
T-3-S1 T-2-S1 10

T-3-X1 T-3-H1 2 t
T-3-H2 T-3-H1 5 t
T-3-H2 T-3-E1 2 t
T-3-H1 T-3-S1 2 t

T-3-H2 T-3-1 10 t


# Floor 4
T-3-E1 T-4-E1 10 t
T-3-S1 T-4-S1 15
T-4-S1 T-3-S1 10

T-4-H2 T-4-H1 5 t
T-4-H2 T-4-E1 2 t
T-4-H1 T-4-S1 2 t

T-4-H2 T-4-1 10 t


# Floor 5
T-4-E1 T-5-E1 10 t
T-4-S1 T-5-S1 15
T-5-S1 T-4-S1 10

T-5-X1 T-5-H1 2 t
T-5-H4 T-5-H3 10 t
T-5-H3 T-5-H2 10 t
T-5-H2 T-5-H1 5 t
T-5-H2 T-5-E1 2 t
T-5-H1 T-5-S1 2 t

T-5-H1 T-5-1 1 t
T-5-H2 T-5-2 7 t
T-5-H3 T-5-3 1 t
T-5-H3 T-5-7 1 t
T-5-H4 T-5-4 1 t
T-5-H4 T-5-5 1 t
T-5-H4 T-5-6 1 t


# Floor 6
T-5-E1 T-6-E1 10 t
T-5-S1 T-6-S1 15
T-6-S1 T-5-S1 10

T-6-H4 T-6-H3 10 t
T-6-H3 T-6-H2 10 t
T-6-H2 T-6-H1 5 t
T-6-H2 T-6-E1 2 t
T-6-H1 T-6-S1 2 t

T-6-H1 T-6-1 1 t
T-6-H2 T-6-2 1 t
T-6-H2 T-6-9 5 t
T-6-H3 T-6-3 1 t
T-6-H3 T-6-8 1 t
T-6-H4 T-6-5 1 t
T-6-H4 T-6-6 1 t


# Floor 7
T-6-E1 T-7-E1 10 t
T-6-S1 T-7-S1 15
T-7-S1 T-6-S1 10

T-7-H4 T-7-H3 10 t
T-7-H3 T-7-H2 10 t
T-7-H2 T-7-H1 5 t
T-7-H2 T-7-E1 2 t
T-7-H1 T-7-S1 2 t

T-7-H1 T-7-1 1 t
T-7-H2 T-7-2 5 t
T-7-H2 T-7-3 7 t
T-7-H2 T-7-4 9 t
T-7-H3 T-7-5 1 t
T-7-H3 T-7-6 1 t
T-7-H3 T-7-7 1 t
T-7-H3 T-7-8 1 t
T-7-H3 T-7-9 3 t
T-7-H3 T-7-10 5 t
T-7-H3 T-7-17 5 t
T-7-H3 T-7-18 3 t
T-7-H3 T-7-19 1 t
T-7-H3 T-7-20 1 t
T-7-H3 T-7-21 1 t
T-7-H4 T-7-11 1 t
T-7-H4 T-7-12 1 t
T-7-H4 T-7-13 1 t
T-7-H4 T-7-14 1 t
T-7-H4 T-7-15 1 t
T-7-H4 T-7-16 1 t


# Floor 8
T-7-E1 T-8-E1 10 t
T-7-S1 T-8-S1 15
T-8-S1 T-7-S1 10

T-8-H4 T-8-H3 10 t
T-8-H3 T-8-H2 10 t
T-8-H2 T-8-H1 5 t
T-8-H2 T-8-E1 2 t
T-8-H1 T-8-S1 2 t

T-8-H1 T-8-1 1 t
T-8-H2 T-8-2 5 t
T-8-H2 T-8-20 5 t
T-8-H3 T-8-3 1 t
T-8-H3 T-8-4 1 t
T-8-H3 T-8-5 1 t
T-8-H3 T-8-6 3 t
T-8-H3 T-8-7 5 t
T-8-H3 T-8-8 6 t
T-8-H3 T-8-15 6 t
T-8-H3 T-8-16 5 t
T-8-H3 T-8-17 3 t
T-8-H3 T-8-18 1 t
T-8-H3 T-8-19 1 t
T-8-H4 T-8-9 1 t
T-8-H4 T-8-10 1 t
T-8-H4 T-8-11 1 t
T-8-H4 T-8-12 1 t
T-8-H4 T-8-13 1 t
T-8-H4 T-8-14 1 t


# Floor 9
T-8-E1 T-9-E1 10 t
T-8-S1 T-9-S1 15
T-9-S1 T-8-S1 10

T-9-H4 T-9-H3 10 t
T-9-H3 T-9-H2 10 t
T-9-H2 T-9-H1 5 t
T-9-H2 T-9-E1 2 t
T-9-H1 T-9-S1 2 t

T-9-H1 T-9-1 1 t
T-9-H2 T-9-2 1 t
T-9-H2 T-9-3 1 t
T-9-H2 T-9-4 3 t
T-9-H2 T-9-5 5 t
T-9-H2 T-9-6 6 t
T-9-H2 T-9-7 7 t
T-9-H2 T-9-8 8 t
T-9-H2 T-9-9 9 t
T-9-H2 T-9-23 9 t
T-9-H2 T-9-24 8 t
T-9-H2 T-9-25 6 t
T-9-H3 T-9-10 1 t
T-9-H3 T-9-11 2 t
T-9-H3 T-9-12 3 t
T-9-H3 T-9-13 5 t
T-9-H3 T-9-20 5 t
T-9-H3 T-9-21 3 t
T-9-H3 T-9-22 1 t
T-9-H4 T-9-14 1 t
T-9-H4 T-9-15 1 t
T-9-H4 T-9-16 1 t
T-9-H4 T-9-17 1 t
T-9-H4 T-9-18 1 t
T-9-H4 T-9-19 1 t


# Floor 10
T-9-E1 T-10-E1 10 t
T-9-S1 T-10-S1 15
T-10-S1 T-9-S1 10

T-10-H4 T-10-H3 10 t
T-10-H3 T-10-H2 10 t
T-10-H2 T-10-H1 5 t
T-10-H2 T-10-E1 2 t
T-10-H1 T-10-S1 2 t

T-10-H1 T-10-1 1 t
T-10-H2 T-10-2 3 t
T-10-H2 T-10-12 3 t
T-10-H3 T-10-3 1 t
T-10-H3 T-10-4 1 t
T-10-H3 T-10-9 3 t
T-10-H3 T-10-10 1 t
T-10-H4 T-10-11 1 t
T-10-H4 T-10-6 1 t
T-10-H4 T-10-7 1 t
T-10-H4 T-10-8 1 t

#Z1동
Z1-1-X1 Z1-1-H1 8 t
Z1-1-X2 Z1-1-H1 3 t
Z1-1-X3 Z1-1-H1 7 t
Z1-1-H1 Z1-1-S1 2 t
Z1-1-H1 Z1-1-1 7 t
Z1-1-H1 Z1-1-2 6 t
Z1-1-H1 Z1-1-3 5 t
Z1-1-H1 Z1-1-4 4 t
Z1-1-H1 Z1-1-5 3 t
Z1-1-H1 Z1-1-6 4 t
Z1-1-H1 Z1-1-7 5 t
Z1-1-H1 Z1-1-8 6 t
Z1-1-H1 Z1-1-9 3 t

Z1-1-S1 Z1-2-S1 15 t
Z1-2-S1 Z1-1-S1 10 t
Z2-2-X1 Z1-2-H1 8 t
Z1-2-X2 Z1-2-H1 7 t
Z1-2-H1 Z1-2-S1 2 t
Z1-2-H1 Z1-2-1 7 t
Z1-2-H1 Z1-2-2 6 t
Z1-2-H1 Z1-2-3 5 t
Z1-2-H1 Z1-2-4 4 t
Z1-2-H1 Z1-2-5 3 t
Z1-2-H1 Z1-2-6 4 t
Z1-2-H1 Z1-2-7 5 t
Z1-2-H1 Z1-2-8 6 t
Z1-2-H1 Z1-2-9 3 t

